arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
gpu,orszag_tang,hllc,0,0.0000000000e+00,5.9107166279e-03,2.2146163002e+00,1.2147501623e+00,1.2148467227e+00,2.2146163002e+00,2.7777777778e+00,2.7777777778e+00,1.6666666667e+00,1.6666666667e+00,9.9986613791e-01,9.9946458748e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
gpu,orszag_tang,hllc,5,2.9514999844e-02,5.8915896823e-03,2.2218060143e+00,1.2217087518e+00,1.2171635659e+00,2.2218060143e+00,2.7841377957e+00,2.7742810730e+00,1.6730342769e+00,1.6630202414e+00,1.0000897544e+00,1.0189992730e+00,0.0000000000e+00,2.0853193540e-03,9.1158931136e+00,2.3788741871e-03,0
gpu,orszag_tang,hllc,10,5.8931230341e-02,5.8710038144e-03,2.2295964717e+00,1.2277758468e+00,1.2193035358e+00,2.2295964717e+00,2.8032898265e+00,2.7640583704e+00,1.6922678531e+00,1.6528100350e+00,1.0005214634e+00,1.0357713968e+00,0.0000000000e+00,3.5428418787e-03,1.8317060299e+01,4.7758150823e-03,0
gpu,orszag_tang,hllc,15,8.8242562343e-02,5.8497660838e-03,2.2376910807e+00,1.2331026656e+00,1.2213715931e+00,2.2376910807e+00,2.8355917703e+00,2.7472243493e+00,1.7249066415e+00,1.6359929012e+00,1.0013393848e+00,1.0501312230e+00,0.0000000000e+00,4.5755600205e-03,2.7656537394e+01,8.1043674852e-03,0
gpu,orszag_tang,hllc,20,1.1744425635e-01,5.8177252074e-03,2.2500150700e+00,1.2379122074e+00,1.2234949278e+00,2.2500150700e+00,2.8817348117e+00,2.7241303014e+00,1.7719634716e+00,1.6130436793e+00,1.0027227406e+00,1.0626416512e+00,0.0000000000e+00,5.3444977049e-03,3.7016826951e+01,1.0245957609e-02,0
gpu,orszag_tang,hllc,25,1.4642706291e-01,5.7655833229e-03,2.2703634059e+00,1.2418885443e+00,1.2254749222e+00,2.2703634059e+00,2.9425198953e+00,2.6955062014e+00,1.8347249370e+00,1.5848263061e+00,1.0043860358e+00,1.0725250342e+00,0.0000000000e+00,5.9466788302e-03,4.6144788984e+01,1.2204503933e-02,0
gpu,orszag_tang,hllc,30,1.7515224479e-01,5.7151621112e-03,2.2903933668e+00,1.2451795468e+00,1.2274155860e+00,2.2903933668e+00,3.0191068047e+00,2.6621303223e+00,1.9150442729e+00,1.5521809458e+00,1.0064387391e+00,1.0801703615e+00,0.0000000000e+00,6.4864822929e-03,5.4919071784e+01,1.4682649217e-02,0
gpu,orszag_tang,hllc,35,2.0363047690e-01,5.6667081276e-03,2.3099776970e+00,1.2481795189e+00,1.2294726132e+00,2.3099776970e+00,3.1131355143e+00,2.6247116639e+00,2.0155338369e+00,1.5159393443e+00,1.0092134684e+00,1.0865863165e+00,0.0000000000e+00,7.0331556187e-03,6.3219250091e+01,1.9279206727e-02,0
gpu,orszag_tang,hllc,40,2.3187224526e-01,5.6208073133e-03,2.3288415098e+00,1.2505394631e+00,1.2315640686e+00,2.3288415098e+00,3.2267029207e+00,2.5839013016e+00,2.1396381245e+00,1.4768015546e+00,1.0126830719e+00,1.0910191362e+00,0.0000000000e+00,7.6784479127e-03,7.0915554046e+01,2.3100321455e-02,0
gpu,orszag_tang,hllc,45,2.5988869364e-01,5.5771318725e-03,2.3470790523e+00,1.2527780165e+00,1.2338323807e+00,2.3470790523e+00,3.3624003653e+00,2.5403237222e+00,2.2918014478e+00,1.4354430301e+00,1.0166675835e+00,1.0948990724e+00,0.0000000000e+00,8.4891553827e-03,7.8300668291e+01,2.4727503347e-02,0
